INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092ACU","50382","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-03","91.87","82.82","379","353","","","0","SMALL","8016","1982","92","ACU","Y","COSMOS 1408 DEB","1982-092ACU","50382"
"1982-092ACV","50383","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-01","89.80","82.92","267","262","","","0","SMALL","8034","1982","92","ACV","Y","COSMOS 1408 DEB","1982-092ACV","50383"
"1982-092ACW","50384","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-05-11","89.04","82.49","244","210","","","0","SMALL","8306","1982","92","ACW","Y","COSMOS 1408 DEB","1982-092ACW","50384"
"1982-092ACX","50385","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-03-22","87.95","82.55","180","166","","","0","SMALL","8261","1982","92","ACX","Y","COSMOS 1408 DEB","1982-092ACX","50385"
"1982-092ACY","50386","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-05-10","88.48","82.63","212","187","","","0","SMALL","8053","1982","92","ACY","Y","COSMOS 1408 DEB","1982-092ACY","50386"
"1982-092ACZ","50387","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-01-01","90.69","82.63","330","286","","","0","SMALL","8307","1982","92","ACZ","Y","COSMOS 1408 DEB","1982-092ACZ","50387"
"1982-092AD","49540","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-06-19","91.40","83.13","360","327","","","0","MEDIUM","8098","1982","92","AD","Y","COSMOS 1408 DEB","1982-092AD","49540"
"1982-092ADA","50388","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-28","90.06","82.47","289","266","","","0","SMALL","8246","1982","92","ADA","Y","COSMOS 1408 DEB","1982-092ADA","50388"
"1982-092ADB","50389","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-03-07","88.77","82.56","225","202","","","0","SMALL","8346","1982","92","ADB","Y","COSMOS 1408 DEB","1982-092ADB","50389"
"1982-092ADC","50390","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-06-03","91.33","82.53","352","327","","","0","SMALL","8075","1982","92","ADC","Y","COSMOS 1408 DEB","1982-092ADC","50390"
"1982-092ADD","50391","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-03-26","88.43","82.56","205","189","","","0","SMALL","8015","1982","92","ADD","Y","COSMOS 1408 DEB","1982-092ADD","50391"
"1982-092ADE","50392","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-03-23","89.70","82.58","270","250","","","0","SMALL","8010","1982","92","ADE","Y","COSMOS 1408 DEB","1982-092ADE","50392"
"1982-092ADF","50393","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-08-18","90.82","82.66","327","303","","","0","SMALL","8149","1982","92","ADF","Y","COSMOS 1408 DEB","1982-092ADF","50393"
"1982-092ADG","50394","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-07-06","88.95","82.62","234","211","","","0","SMALL","8111","1982","92","ADG","Y","COSMOS 1408 DEB","1982-092ADG","50394"
"1982-092ADH","50395","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-04-01","90.03","82.23","307","245","","","0","SMALL","8371","1982","92","ADH","Y","COSMOS 1408 DEB","1982-092ADH","50395"
